Age,Death_Rate
0 - 9,0.6
10-19,0.3
20 - 29,0.8
30 - 39,1.2
40 - 49,2.7
50 - 59 ,5.9
60 - 64,5.4
65 - 69 ,8.1
70 - 74,13.6
75 - 79,23.3
80 - 84,43.9
85 - 89,87.1
90 - 94,161.3
95 - 99,241.6
100 +,284.6
